Date,Time,OpenBid,HighBid,LowBid,CloseBid
01/02/2009,12:23:00,1238.89,1239.08,1238.66,1238.66
01/02/2009,12:24:00,1238.77,1239.07,1238.77,1239.07
01/02/2009,12:25:00,1238.97,1239.13,1238.77,1238.77
01/02/2009,12:26:00,1238.84,1239.24,1238.71,1239.24
01/02/2009,12:27:00,1239.24,1239.5,1239.23,1239.5
01/02/2009,12:28:00,1239.49,1240.56,1239.49,1240.38
01/02/2009,12:29:00,1240.31,1240.31,1239.78,1240.18
01/02/2009,12:30:00,1240.32,1240.42,1240.22,1240.42
01/02/2009,12:31:00,1240.94,1241.97,1240.94,1241.88
01/02/2009,12:32:00,1241.89,1241.89,1241.32,1241.76
01/02/2009,12:33:00,1241.74,1241.74,1241.56,1241.56
01/02/2009,12:34:00,1241.54,1241.78,1241.54,1241.78
01/02/2009,12:35:00,1242.03,1242.03,1241.47,1241.47
01/02/2009,12:36:00,1241.48,1241.59,1241.48,1241.59
01/02/2009,12:37:00,1241.52,1241.84,1241.52,1241.84
01/02/2009,12:38:00,1242.58,1243.43,1242.58,1243.42
01/02/2009,12:39:00,1243.64,1243.64,1243.13,1243.13
01/02/2009,12:40:00,1243.43,1244.13,1243.43,1244.13
01/02/2009,12:41:00,1244.3,1245.57,1244.3,1245.57
01/02/2009,12:42:00,1245.71,1245.71,1245.21,1245.48
01/02/2009,12:43:00,1245.66,1245.66,1245.37,1245.37
01/02/2009,12:44:00,1245.99,1245.99,1245.7,1245.7
01/02/2009,12:45:00,1245.06,1245.72,1245.06,1245.17
01/02/2009,12:46:00,1245.26,1245.67,1245.26,1245.67
01/02/2009,12:47:00,1245.79,1246.35,1245.79,1246.35
01/02/2009,12:48:00,1246.53,1246.66,1246.53,1246.53
01/02/2009,12:49:00,1246.61,1246.61,1245.77,1245.77
01/02/2009,12:50:00,1246.19,1246.19,1245.57,1245.58
01/02/2009,12:51:00,1245.94,1245.94,1245.42,1245.42
01/02/2009,12:52:00,1245.22,1245.22,1244.92,1245.11
01/02/2009,12:53:00,1244.96,1244.96,1244.25,1244.25
01/02/2009,12:54:00,1244.12,1244.12,1243.68,1244.08
01/02/2009,12:55:00,1244.3,1244.3,1244.11,1244.16
01/02/2009,12:56:00,1244.23,1244.23,1243.82,1243.9
01/02/2009,12:57:00,1243.85,1244.34,1243.85,1244.34
01/02/2009,12:58:00,1244.27,1245.06,1244.27,1244.95
01/02/2009,12:59:00,1244.4,1244.4,1244.02,1244.09
01/02/2009,13:00:00,1244.19,1244.24,1244.13,1244.2
01/02/2009,13:01:00,1244.13,1244.13,1244.03,1244.03
01/02/2009,13:02:00,1243.96,1244.47,1243.96,1244.27
